,Word,Start_time_combined,End_time_combined,Log_Freq_HAL,WordRate,lex_surprisal_bits,pos_surprisal_bits,phoneme_surprisal_bits
0,when,1.24,1.39,13.758,1,13.5,14.84,7.02
1,henry,1.39,1.66,0,1,20.37,5.91,7.07
2,left,1.66,2,11.791,1,9.53,2.89,7.75
3,the,2,2.07,16.955,1,3.06,2.12,4
4,gym,2.07,2.42,8.174,1,10.46,0.34,9.75
5,on,2.42,2.53,15.079,1,5.86,2.57,8.46
6,this,2.53,2.74,14.995,1,7.8,1.92,4.51
7,particular,2.74,3.34,11.216,1,7.28,5.87,6.97
8,wednesday,3.34,4.04,0,1,15.97,3.1,6.07
9,he,4.41,4.54,13.98,1,5.97,4.59,8.3
10,stopped,4.54,4.89,10.175,1,9.38,1.07,4.95
11,to,4.89,4.96,16.354,1,4.55,3,4.98
12,watch,4.96,5.25,10.95,1,4.89,0.99,5.95
13,a,5.25,5.31,16.177,1,3.25,1.93,4.27
14,man,5.31,5.73,12.149,1,9.58,0.65,3.54
15,tear,5.73,6.03,8.797,1,14.58,2.61,7.2
16,down,6.03,6.33,12.59,1,4.36,3.19,6.29
17,a,6.33,6.37,16.177,1,1.89,0.91,2.66
18,circus,6.37,6.83,8.137,1,14.77,0.28,5.4
19,poster,6.83,7.42,10.12,1,5.45,0.71,4.04
20,then,8.06,8.46,13.467,1,9.34,5.35,6.31
21,with,8.46,8.68,14.974,1,9.83,7.3,4.98
22,three,8.68,8.93,12.015,1,9.92,6.8,13.42
23,nickels,8.93,9.41,5.403,1,15.9,0.99,9.65
24,and,9.41,9.64,16.187,1,3.5,4.73,3.38
25,one,9.64,9.9,14.172,1,3.82,1.44,5.32
26,dime,9.9,10.16,7.847,1,4.65,1.1,4.13
27,in,10.16,10.22,15.897,1,7.74,6.94,8.08
28,his,10.22,10.38,13.644,1,0.83,0.36,0.79
29,pocket,10.38,10.92,9.284,1,0.99,0.05,1.19
30,he,11.16,11.32,13.98,1,1.66,1.73,2.27
31,went,11.32,11.51,11.658,1,4.38,0.44,4.74
32,to,11.51,11.62,16.354,1,1.77,3.09,2.54
33,the,11.62,11.71,16.955,1,1.9,1.61,2.66
34,corner,11.71,12.05,10.047,1,8.55,0.33,5.9
35,drugstore,12.05,12.62,5.82,1,14.27,2.71,11.35
36,to,12.62,12.75,16.354,1,2.8,5.24,4.01
37,buy,12.75,12.93,11.778,1,0.94,9.61,1.34
38,a,12.93,13.03,16.177,1,2.07,1.84,2.82
39,chocolate,13.03,13.55,9.161,1,9.25,0.75,9.3
40,ice,13.58,13.86,10.547,1,7.03,0.27,9.93
41,cream,13.86,14.1,9.197,1,0.21,0.05,0.19
42,cone,14.1,14.54,8.172,1,2.2,1.81,2.91
43,he,15.2,15.37,13.98,1,5.33,5.52,7.48
44,thought,15.37,15.67,12.072,1,6.08,0.52,8.28
45,he,15.67,15.79,13.98,1,2.23,1.41,3.02
46,would,15.79,15.93,14.061,1,2.98,1.18,1.9
47,eat,15.93,16.13,10.479,1,6.87,1.49,9.91
48,the,16.13,16.26,16.955,1,4.69,2.23,5.05
49,ice,16.26,16.54,10.547,1,4.85,1.14,6.88
50,cream,16.54,16.7,9.197,1,0.07,0.02,0.04
51,cone,16.7,17.22,8.172,1,3.55,4.5,4.93
52,get,17.55,17.74,13.794,1,11.32,10.44,12.68
53,on,17.74,17.87,15.079,1,6.36,4.72,9.09
54,the,17.87,17.95,16.955,1,1.9,0.58,2.19
55,bus,17.95,18.44,10.485,1,3.33,0.13,3.97
56,drop,18.84,19.11,10.765,1,13.39,8.28,10.9
57,his,19.11,19.31,13.644,1,7.76,3.74,5.2
58,dime,19.31,19.56,7.847,1,12.12,0.3,6.42
59,in,19.56,19.66,15.897,1,3.79,1.41,3.53
60,the,19.66,19.73,16.955,1,1.23,0.15,1.73
61,slot,19.73,20.28,9.389,1,9.79,0.24,5.13
62,and,20.57,20.69,16.187,1,2.86,3.81,3.94
63,ride,20.69,20.88,10.069,1,9.17,2.27,8.09
64,home,20.88,21.34,12.157,1,2.55,3.5,3.35
65,that,22.66,23.2,15.476,1,7.45,7.63,6.6
66,is,23.25,23.48,15.683,1,5.07,4.33,6.99
67,not,23.48,24.08,14.773,1,5.63,7.02,6.06
68,what,24.11,24.27,14.098,1,5.74,2.53,5.78
69,happened,24.27,24.82,10.946,1,3.76,4.66,1.57
70,he,26.05,26.32,13.98,1,3.72,3.04,4.91
71,bought,26.32,26.58,10.953,1,6.7,0.73,7.96
72,the,26.58,26.72,16.955,1,2.39,0.45,3.15
73,ice,26.72,27.02,10.547,1,3.79,0.58,5.41
74,cream,27.02,27.21,9.197,1,0.02,0,0.02
75,cone,27.21,27.48,8.172,1,0.32,0.26,0.43
76,and,27.48,27.61,16.187,1,2.11,2.61,2.83
77,paid,27.61,27.86,10.821,1,8.14,2.15,7.31
78,for,27.86,28.09,15.417,1,1.34,1.37,1.92
79,it,28.09,28.26,15.365,1,1.09,0.04,1.57
80,with,28.26,28.42,14.974,1,3.84,2.72,4.56
81,one,28.42,28.61,14.172,1,6,4.8,8.13
82,of,28.61,28.7,16.214,1,2.58,3.41,3.6
83,his,28.7,28.89,13.644,1,0.99,0.04,1.4
84,nickels,28.89,29.48,5.403,1,0.67,4.05,8.2
85,on,30.05,30.25,15.079,1,6.73,5.71,9.71
86,his,30.25,30.45,13.644,1,2.98,0.39,3.83
87,way,30.45,30.66,13.102,1,5.59,0.53,5.09
88,out,30.66,30.82,13.902,1,4.58,3.83,6.61
89,of,30.82,30.93,16.214,1,1.96,1.71,2.4
90,the,30.93,31,16.955,1,1,1.05,1.35
91,drugstore,31,31.65,5.82,1,8.42,0.04,8.71
92,he,31.96,32.14,13.98,1,2.95,3.12,3.99
93,stopped,32.14,32.84,10.175,1,6.8,0.55,5.13
94,to,32.84,32.97,16.354,1,1.13,0.6,1.63
95,look,32.97,33.21,12.443,1,4.85,0.12,6.73
96,at,33.21,33.3,14.498,1,0.5,0.27,0.71
97,funny,33.3,33.65,10.511,1,12.89,13.67,
98,books,33.65,34.17,11.618,1,8.73,0.88,5.66
99,it,34.78,34.93,15.365,1,8.35,2.11,7.1
100,was,34.93,35.09,14.556,1,1.1,0.92,1.53
101,a,35.09,35.14,16.177,1,2.33,4.2,3
102,free,35.14,35.48,12.405,1,10.39,2.22,5.8
103,look,35.48,35.84,12.443,1,10.96,0.58,6.53
104,because,36.16,36.44,13.129,1,8.36,6.6,5.71
105,he,36.44,36.51,13.98,1,1.63,0.58,2.18
106,had,36.51,36.6,13.532,1,3.47,1.28,4.27
107,only,36.6,36.85,13.627,1,6.88,4.82,9.67
108,two,37.13,37.3,13.031,1,5.09,3.67,6.03
109,nickels,37.3,37.65,5.403,1,0.36,4.82,11.4
110,left,37.65,38.1,11.791,1,7.62,9.95,10.99
111,he,39.11,39.28,13.98,1,0.96,0.85,1.3
112,stood,39.28,39.68,9.575,1,9.78,0.36,4.66
113,there,39.68,40.06,14.088,1,1.04,0.69,1.5
114,licking,40.06,40.55,8.048,1,12.91,2.89,4.15
115,his,40.55,40.8,13.644,1,0.76,0.12,1.07
116,chocolate,40.8,41.26,9.161,1,9.58,0.08,7.86
117,ice,41.26,41.49,10.547,1,2.09,0.86,2.88
118,cream,41.49,41.73,9.197,1,0.01,0,0.01
119,cone,41.73,42.08,8.172,1,0.25,0.17,0.27
120,and,42.08,42.22,16.187,1,2.28,2.95,3.04
121,reading,42.22,42.74,11.54,1,8.65,4.59,8.59
122,one,42.74,42.91,14.172,1,6.56,8.69,6.21
123,of,42.91,43.01,16.214,1,0.83,0.79,1.04
124,the,43.01,43.09,16.955,1,0.79,0.01,0.36
125,funny,43.09,43.43,10.511,1,3.95,2.85,4.66
126,books,43.43,43.96,11.618,1,0.16,0.02,0.17
127,when,44.46,44.61,13.758,1,6.11,5.88,5.09
128,he,44.61,44.77,13.98,1,1.14,0.26,1.38
129,heard,44.77,45.1,11.804,1,3.87,0.18,5.06
130,a,45.1,45.4,16.177,1,2.02,1.28,2.68
131,thump,45.57,45.94,6.652,1,8.16,0.36,11.81
132,thump,46.13,46.53,6.652,1,6.68,8.36,13.01
133,thump,46.73,47.03,6.652,1,1.14,8.25,14.57
134,henry,48.27,48.59,0,1,17.12,9.17,7.4
135,turned,48.59,49.06,10.841,1,6.11,0.97,6.74
136,and,50.06,50.24,16.187,1,3.93,5.59,4.79
137,there,50.24,50.55,14.088,1,7.62,7.15,7.29
138,behind,50.55,51.03,11.08,1,12.68,10.06,
139,him,51.03,51.4,12.818,1,0.32,0.03,0.32
140,was,51.78,51.97,14.556,1,2.05,2.4,2.53
141,a,51.97,52.03,16.177,1,1.13,2.67,1.55
142,dog,52.03,52.58,10.974,1,8.33,0.82,7.19
143,the,53.67,53.76,16.955,1,6.77,2.92,4.9
144,dog,53.76,54.2,10.974,1,1.61,0.5,2.12
145,was,54.2,54.46,14.556,1,1.39,1.68,1.83
146,scratching,54.46,54.98,7.483,1,8.25,1.85,4.39
147,himself,54.98,55.66,10.943,1,8.93,0.84,2.45
148,he,56.77,56.9,13.98,1,2.82,2.12,3.36
149,wasn't,56.9,57.24,11.233,1,9.16,4.07,3.56
150,any,57.24,57.49,13.945,1,10.66,10.23,12.49
151,special,57.49,58,11.569,1,9.17,,6.39
152,kind,58,58.26,11.789,1,4.26,7.85,5.1
153,of,58.26,58.37,16.214,1,0.15,9.13,0.2
154,dog,58.37,58.77,10.974,1,1.35,11.06,1.89
155,he,59.38,59.48,13.98,1,2.23,11.58,2.81
156,was,59.48,59.65,14.556,1,1.48,,1.99
157,too,59.65,59.84,12.87,1,9.12,11.53,8.38
158,small,59.84,60.32,11.975,1,5.6,7.08,2.22
159,to,60.32,60.43,16.354,1,2.66,11.71,3.79
160,be,60.43,60.57,14.945,1,2.01,11.89,2.71
161,a,60.57,60.61,16.177,1,2.09,14.05,2.74
162,big,60.61,60.94,12.093,1,4.35,,5.42
163,dog,60.94,61.34,10.974,1,1.37,6.35,1.83
164,but,61.34,61.74,14.571,1,3.14,6.76,4.4
165,on,61.74,61.91,15.079,1,8.76,12.83,12.63
166,the,61.91,62.05,16.955,1,1.22,10.75,1.15
167,other,62.05,62.27,13.708,1,1.45,,2.08
168,hand,62.27,62.6,11.735,1,1.06,,1.52
169,he,62.77,62.95,13.98,1,1.43,,1.72
170,was,62.95,63.11,14.556,1,0.44,,0.62
171,much,63.11,63.49,13.09,1,7.79,12.58,8.88
172,too,63.49,63.69,12.87,1,6.09,7.93,6.55
173,big,63.69,64.29,12.093,1,1.22,8.8,1.74
