Section,Text,Start_time_section,End_time_section,Section_offset,Start_time_combined,End_time_combined
0,henry,1.41,1.7,0,1.41,1.7
0,huggins,1.7,2.27,0,1.7,2.27
0,was,2.27,2.46,0,2.27,2.46
0,in,2.46,2.62,0,2.46,2.62
0,the,2.62,2.68,0,2.62,2.68
0,third,2.68,3.07,0,2.68,3.07
0,grade,3.07,3.54,0,3.07,3.54
0,his,4.35,4.69,0,4.35,4.69
0,hair,4.69,5.12,0,4.69,5.12
0,looked,5.17,5.43,0,5.17,5.43
0,like,5.43,5.62,0,5.43,5.62
0,a,5.62,5.7,0,5.62,5.7
0,scrubbing,5.7,6.25,0,5.7,6.25
0,brush,6.25,6.72,0,6.25,6.72
0,and,7.08,7.32,0,7.08,7.32
0,most,7.32,7.61,0,7.32,7.61
0,of,7.61,7.75,0,7.61,7.75
0,his,7.75,7.92,0,7.75,7.92
0,grown,7.92,8.22,0,7.92,8.22
0,up,8.22,8.39,0,8.22,8.39
0,front,8.39,8.68,0,8.39,8.68
0,teeth,8.68,9.01,0,8.68,9.01
0,were,9.04,9.14,0,9.04,9.14
0,in,9.14,9.55,0,9.14,9.55
0,he,10.37,10.54,0,10.37,10.54
0,lived,10.54,10.87,0,10.54,10.87
0,with,10.87,10.99,0,10.87,10.99
0,his,10.99,11.17,0,10.99,11.17
0,mother,11.17,11.5,0,11.17,11.5
0,and,11.5,11.66,0,11.5,11.66
0,father,11.66,12.09,0,11.66,12.09
0,in,12.09,12.25,0,12.09,12.25
0,a,12.25,12.3,0,12.25,12.3
0,square,12.3,12.72,0,12.3,12.72
0,white,12.72,13.08,0,12.72,13.08
0,house,13.08,13.39,0,13.08,13.39
0,on,13.39,13.62,0,13.39,13.62
0,klickitat,13.62,14.28,0,13.62,14.28
0,street,14.28,14.7,0,14.28,14.7
0,except,15.58,15.94,0,15.58,15.94
0,for,15.94,16.11,0,15.94,16.11
0,having,16.11,16.4,0,16.11,16.4
0,his,16.4,16.59,0,16.4,16.59
0,tonsils,16.59,17.13,0,16.59,17.13
0,out,17.13,17.33,0,17.13,17.33
0,when,17.33,17.46,0,17.33,17.46
0,he,17.46,17.58,0,17.46,17.58
0,was,17.58,17.72,0,17.58,17.72
0,six,17.72,18.29,0,17.72,18.29
0,and,18.56,18.72,0,18.56,18.72
0,breaking,18.72,19.08,0,18.72,19.08
0,his,19.08,19.24,0,19.08,19.24
0,arm,19.24,19.57,0,19.24,19.57
0,falling,19.57,19.93,0,19.57,19.93
0,out,19.93,20.04,0,19.93,20.04
0,of,20.04,20.13,0,20.04,20.13
0,a,20.13,20.17,0,20.13,20.17
0,cherry,20.17,20.6,0,20.17,20.6
0,tree,20.6,20.87,0,20.6,20.87
0,when,20.87,21.02,0,20.87,21.02
0,he,21.02,21.15,0,21.02,21.15
0,was,21.15,21.28,0,21.15,21.28
0,seven,21.28,21.78,0,21.28,21.78
0,nothing,22.43,22.9,0,22.43,22.9
0,much,22.9,23.29,0,22.9,23.29
0,had,23.29,23.4,0,23.29,23.4
0,happened,23.4,23.76,0,23.4,23.76
0,to,23.76,23.84,0,23.76,23.84
0,henry,23.84,24.28,0,23.84,24.28
0,i,25.45,25.68,0,25.45,25.68
0,wish,25.68,26.02,0,25.68,26.02
0,something,26.02,26.46,0,26.02,26.46
0,exciting,26.46,27.21,0,26.46,27.21
0,would,27.21,27.33,0,27.21,27.33
0,happen,27.33,27.95,0,27.33,27.95
0,henry,28.39,28.79,0,28.39,28.79
0,often,28.79,29.06,0,28.79,29.06
0,thought,29.06,29.51,0,29.06,29.51
0,but,30.51,30.69,0,30.51,30.69
0,nothing,30.69,31.17,0,30.69,31.17
0,very,31.17,31.51,0,31.17,31.51
0,exciting,31.51,32.15,0,31.51,32.15
0,ever,32.15,32.51,0,32.15,32.51
0,happened,32.51,32.9,0,32.51,32.9
0,to,32.9,33.04,0,32.9,33.04
0,henry,33.04,33.46,0,33.04,33.46
0,at,34.45,34.65,0,34.45,34.65
0,least,34.65,35.04,0,34.65,35.04
0,not,35.04,35.23,0,35.04,35.23
0,until,35.23,35.75,0,35.23,35.75
0,one,35.75,36.09,0,35.75,36.09
0,wednesday,36.09,36.58,0,36.09,36.58
0,afternoon,36.58,37.15,0,36.58,37.15
0,in,37.15,37.29,0,37.15,37.29
0,march,37.29,37.93,0,37.29,37.93
0,every,38.78,39.05,0,38.78,39.05
0,wednesday,39.05,39.48,0,39.05,39.48
0,after,39.48,39.74,0,39.48,39.74
0,school,39.74,40.28,0,39.74,40.28
0,henry,40.58,40.93,0,40.58,40.93
0,rode,40.93,41.28,0,40.93,41.28
0,downtown,41.28,41.85,0,41.28,41.85
0,on,41.85,41.98,0,41.85,41.98
0,the,41.98,42.04,0,41.98,42.04
0,bus,42.04,42.34,0,42.04,42.34
0,to,42.34,42.42,0,42.34,42.42
0,go,42.42,42.57,0,42.42,42.57
0,swimming,42.57,43.05,0,42.57,43.05
0,at,43.05,43.18,0,43.05,43.18
0,the,43.18,43.24,0,43.18,43.24
0,gym,43.24,43.64,0,43.24,43.64
0,after,44.52,44.8,0,44.52,44.8
0,he,44.8,44.95,0,44.8,44.95
0,swam,44.95,45.33,0,44.95,45.33
0,for,45.33,45.52,0,45.33,45.52
0,an,45.52,45.66,0,45.52,45.66
0,hour,45.66,46.08,0,45.66,46.08
0,he,46.34,46.54,0,46.34,46.54
0,got,46.54,46.8,0,46.54,46.8
0,on,46.8,46.92,0,46.8,46.92
0,the,46.92,46.98,0,46.92,46.98
0,bus,46.98,47.27,0,46.98,47.27
0,again,47.27,47.6,0,47.27,47.6
0,and,47.6,47.85,0,47.6,47.85
0,rode,47.85,48.07,0,47.85,48.07
0,home,48.07,48.58,0,48.07,48.58
0,just,48.69,49.08,0,48.69,49.08
0,in,49.08,49.21,0,49.08,49.21
0,time,49.21,49.57,0,49.21,49.57
0,for,49.57,49.74,0,49.57,49.74
0,dinner,49.74,50.18,0,49.74,50.18
0,it,51.1,51.2,0,51.1,51.2
0,was,51.2,51.36,0,51.2,51.36
0,fun,51.36,51.97,0,51.36,51.97
0,but,52.52,52.69,0,52.52,52.69
0,not,52.69,52.98,0,52.69,52.98
0,really,52.98,53.54,0,52.98,53.54
0,exciting,53.54,54.54,0,53.54,54.54
1,when,1.24,1.39,55.71,56.95,57.1
1,henry,1.39,1.66,55.71,57.1,57.37
1,left,1.66,2,55.71,57.37,57.71
1,the,2,2.07,55.71,57.71,57.78
1,gym,2.07,2.42,55.71,57.78,58.13
1,on,2.42,2.53,55.71,58.13,58.24
1,this,2.53,2.74,55.71,58.24,58.45
1,particular,2.74,3.34,55.71,58.45,59.05
1,wednesday,3.34,4.04,55.71,59.05,59.75
1,he,4.41,4.54,55.71,60.12,60.25
1,stopped,4.54,4.89,55.71,60.25,60.6
1,to,4.89,4.96,55.71,60.6,60.67
1,watch,4.96,5.25,55.71,60.67,60.96
1,a,5.25,5.31,55.71,60.96,61.02
1,man,5.31,5.73,55.71,61.02,61.44
1,tear,5.73,6.03,55.71,61.44,61.74
1,down,6.03,6.33,55.71,61.74,62.04
1,a,6.33,6.37,55.71,62.04,62.08
1,circus,6.37,6.83,55.71,62.08,62.54
1,poster,6.83,7.42,55.71,62.54,63.13
1,then,8.06,8.46,55.71,63.77,64.17
1,with,8.46,8.68,55.71,64.17,64.39
1,three,8.68,8.93,55.71,64.39,64.64
1,nickels,8.93,9.41,55.71,64.64,65.12
1,and,9.41,9.64,55.71,65.12,65.35
1,one,9.64,9.9,55.71,65.35,65.61
1,dime,9.9,10.16,55.71,65.61,65.87
1,in,10.16,10.22,55.71,65.87,65.93
1,his,10.22,10.38,55.71,65.93,66.09
1,pocket,10.38,10.92,55.71,66.09,66.63
1,he,11.16,11.32,55.71,66.87,67.03
1,went,11.32,11.51,55.71,67.03,67.22
1,to,11.51,11.62,55.71,67.22,67.33
1,the,11.62,11.71,55.71,67.33,67.42
1,corner,11.71,12.05,55.71,67.42,67.76
1,drugstore,12.05,12.62,55.71,67.76,68.33
1,to,12.62,12.75,55.71,68.33,68.46
1,buy,12.75,12.93,55.71,68.46,68.64
1,a,12.93,13.03,55.71,68.64,68.74
1,chocolate,13.03,13.55,55.71,68.74,69.26
1,ice,13.58,13.86,55.71,69.29,69.57
1,cream,13.86,14.1,55.71,69.57,69.81
1,cone,14.1,14.54,55.71,69.81,70.25
1,he,15.2,15.37,55.71,70.91,71.08
1,thought,15.37,15.67,55.71,71.08,71.38
1,he,15.67,15.79,55.71,71.38,71.5
1,would,15.79,15.93,55.71,71.5,71.64
1,eat,15.93,16.13,55.71,71.64,71.84
1,the,16.13,16.26,55.71,71.84,71.97
1,ice,16.26,16.54,55.71,71.97,72.25
1,cream,16.54,16.7,55.71,72.25,72.41
1,cone,16.7,17.22,55.71,72.41,72.93
1,get,17.55,17.74,55.71,73.26,73.45
1,on,17.74,17.87,55.71,73.45,73.58
1,the,17.87,17.95,55.71,73.58,73.66
1,bus,17.95,18.44,55.71,73.66,74.15
1,drop,18.84,19.11,55.71,74.55,74.82
1,his,19.11,19.31,55.71,74.82,75.02
1,dime,19.31,19.56,55.71,75.02,75.27
1,in,19.56,19.66,55.71,75.27,75.37
1,the,19.66,19.73,55.71,75.37,75.44
1,slot,19.73,20.28,55.71,75.44,75.99
1,and,20.57,20.69,55.71,76.28,76.4
1,ride,20.69,20.88,55.71,76.4,76.59
1,home,20.88,21.34,55.71,76.59,77.05
1,that,22.66,23.2,55.71,78.37,78.91
1,is,23.25,23.48,55.71,78.96,79.19
1,not,23.48,24.08,55.71,79.19,79.79
1,what,24.11,24.27,55.71,79.82,79.98
1,happened,24.27,24.82,55.71,79.98,80.53
1,he,26.05,26.32,55.71,81.76,82.03
1,bought,26.32,26.58,55.71,82.03,82.29
1,the,26.58,26.72,55.71,82.29,82.43
1,ice,26.72,27.02,55.71,82.43,82.73
1,cream,27.02,27.21,55.71,82.73,82.92
1,cone,27.21,27.48,55.71,82.92,83.19
1,and,27.48,27.61,55.71,83.19,83.32
1,paid,27.61,27.86,55.71,83.32,83.57
1,for,27.86,28.09,55.71,83.57,83.8
1,it,28.09,28.26,55.71,83.8,83.97
1,with,28.26,28.42,55.71,83.97,84.13
1,one,28.42,28.61,55.71,84.13,84.32
1,of,28.61,28.7,55.71,84.32,84.41
1,his,28.7,28.89,55.71,84.41,84.6
1,nickels,28.89,29.48,55.71,84.6,85.19
1,on,30.05,30.25,55.71,85.76,85.96
1,his,30.25,30.45,55.71,85.96,86.16
1,way,30.45,30.66,55.71,86.16,86.37
1,out,30.66,30.82,55.71,86.37,86.53
1,of,30.82,30.93,55.71,86.53,86.64
1,the,30.93,31,55.71,86.64,86.71
1,drugstore,31,31.65,55.71,86.71,87.36
1,he,31.96,32.14,55.71,87.67,87.85
1,stopped,32.14,32.84,55.71,87.85,88.55
1,to,32.84,32.97,55.71,88.55,88.68
1,look,32.97,33.21,55.71,88.68,88.92
1,at,33.21,33.3,55.71,88.92,89.01
1,funny,33.3,33.65,55.71,89.01,89.36
1,books,33.65,34.17,55.71,89.36,89.88
1,it,34.78,34.93,55.71,90.49,90.64
1,was,34.93,35.09,55.71,90.64,90.8
1,a,35.09,35.14,55.71,90.8,90.85
1,free,35.14,35.48,55.71,90.85,91.19
1,look,35.48,35.84,55.71,91.19,91.55
1,because,36.16,36.44,55.71,91.87,92.15
1,he,36.44,36.51,55.71,92.15,92.22
1,had,36.51,36.6,55.71,92.22,92.31
1,only,36.6,36.85,55.71,92.31,92.56
1,two,37.13,37.3,55.71,92.84,93.01
1,nickels,37.3,37.65,55.71,93.01,93.36
1,left,37.65,38.1,55.71,93.36,93.81
1,he,39.11,39.28,55.71,94.82,94.99
1,stood,39.28,39.68,55.71,94.99,95.39
1,there,39.68,40.06,55.71,95.39,95.77
