Section,Text,Start_time_adjusted,Start_time_adjusted_round
1, when       ,0.0,0
1, henry      ,0.15,0
1, left       ,0.42,0
1, the        ,0.76,0
1, gym        ,0.83,0
1, on         ,1.18,1
1, this       ,1.29,1
1, particular ,1.5,1
1, wednesday  ,2.1,2
1, he         ,3.17,3
1, stopped    ,3.3,3
1, to         ,3.65,3
1, watch      ,3.72,3
1, a          ,4.01,4
1, man        ,4.07,4
1, tear       ,4.49,4
1, down       ,4.79,4
1, a          ,5.09,5
1, circus     ,5.13,5
1, poster     ,5.59,5
1, then       ,6.82,6
1, with       ,7.22,7
1, three      ,7.44,7
1, nickels    ,7.69,7
1, and        ,8.17,8
1, one        ,8.4,8
1, dime       ,8.66,8
1, in         ,8.92,8
1, his        ,8.98,8
1, pocket     ,9.14,9
1, he         ,9.92,9
1, went       ,10.08,10
1, to         ,10.27,10
1, the        ,10.38,10
1, corner     ,10.47,10
1, drugstore  ,10.81,10
1, to         ,11.38,11
1, buy        ,11.51,11
1, a          ,11.69,11
1, chocolate  ,11.79,11
1, ice        ,12.34,12
1, cream      ,12.62,12
1, cone       ,12.86,12
1, he         ,13.96,13
1, thought    ,14.13,14
1, he         ,14.43,14
1, would      ,14.55,14
1, eat        ,14.69,14
1, the        ,14.89,14
1, ice        ,15.02,15
1, cream      ,15.3,15
1, cone       ,15.46,15
1, get        ,16.31,16
1, on         ,16.5,16
1, the        ,16.63,16
1, bus        ,16.71,16
1, drop       ,17.6,17
1, his        ,17.87,17
1, dime       ,18.07,18
1, in         ,18.32,18
1, the        ,18.42,18
1, slot       ,18.49,18
1, and        ,19.33,19
1, ride       ,19.45,19
1, home       ,19.64,19
1, that       ,21.42,21
1, is         ,22.01,22
1, not        ,22.24,22
1, what       ,22.87,22
1, happened   ,23.03,23
1, he         ,24.81,24
1, bought     ,25.08,25
1, the        ,25.34,25
1, ice        ,25.48,25
1, cream      ,25.78,25
1, cone       ,25.97,25
1, and        ,26.24,26
1, paid       ,26.37,26
1, for        ,26.62,26
1, it         ,26.85,26
1, with       ,27.02,27
