ID,Section,Text,Time_shift_0,Time_shift_1,Time_shift_2,Time_shift_3,Time_shift_4,Time_shift_5,Time_shift_6,Time_shift_7,Time_shift_8,Time_shift_9,Time_shift_10,Time_shift_11,Time_shift_12,Time_shift_13,Time_shift_14,Time_shift_15,Time_shift_16,Time_shift_17,Time_shift_18,Time_shift_19,Time_shift_20,Time_shift_21,Time_shift_22,Time_shift_23,Time_shift_24,Time_shift_25
0,1,when,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,henry,0.15,0,,,,,,,,,,,,,,,,,,,,,,,,
2,1,left,0.42,0.27,0,,,,,,,,,,,,,,,,,,,,,,,
3,1,the,0.76,0.61,0.34,0,,,,,,,,,,,,,,,,,,,,,,
4,1,gym,0.83,0.68,0.41,0.07,0,,,,,,,,,,,,,,,,,,,,,
5,1,on,1.18,1.03,0.76,0.42,0.35,0,,,,,,,,,,,,,,,,,,,,
6,1,this,1.29,1.14,0.87,0.53,0.46,0.11,0,,,,,,,,,,,,,,,,,,,
7,1,particular,1.5,1.35,1.08,0.74,0.67,0.32,0.21,0,,,,,,,,,,,,,,,,,,
8,1,wednesday,2.1,1.95,1.68,1.34,1.27,0.92,0.81,0.6,0,,,,,,,,,,,,,,,,,
9,1,he,3.17,3.02,2.75,2.41,2.34,1.99,1.88,1.67,1.07,0,,,,,,,,,,,,,,,,
10,1,stopped,3.3,3.15,2.88,2.54,2.47,2.12,2.01,1.8,1.2,0.13,0,,,,,,,,,,,,,,,
11,1,to,3.65,3.5,3.23,2.89,2.82,2.47,2.36,2.15,1.55,0.48,0.35,0,,,,,,,,,,,,,,
12,1,watch,3.72,3.57,3.3,2.96,2.89,2.54,2.43,2.22,1.62,0.55,0.42,0.07,0,,,,,,,,,,,,,
13,1,a,4.01,3.86,3.59,3.25,3.18,2.83,2.72,2.51,1.91,0.84,0.71,0.36,0.29,0,,,,,,,,,,,,
14,1,man,4.07,3.92,3.65,3.31,3.24,2.89,2.78,2.57,1.97,0.9,0.77,0.42,0.35,0.06,0,,,,,,,,,,,
15,1,tear,4.49,4.34,4.07,3.73,3.66,3.31,3.2,2.99,2.39,1.32,1.19,0.84,0.77,0.48,0.42,0,,,,,,,,,,
16,1,down,4.79,4.64,4.37,4.03,3.96,3.61,3.5,3.29,2.69,1.62,1.49,1.14,1.07,0.78,0.72,0.3,0,,,,,,,,,
17,1,a,5.09,4.94,4.67,4.33,4.26,3.91,3.8,3.59,2.99,1.92,1.79,1.44,1.37,1.08,1.02,0.6,0.3,0,,,,,,,,
18,1,circus,5.13,4.98,4.71,4.37,4.3,3.95,3.84,3.63,3.03,1.96,1.83,1.48,1.41,1.12,1.06,0.64,0.34,0.04,0,,,,,,,
